landing_id,source_data_point_id,first_batch_recommended,priority_score,risk_level,landing_action,suggested_module,domain_label,topic,source_title,source_page,required_fields,trigger_conditions,expected_behavior,test_suggestion
landing-rule-0543,data-point-0543,no,81,P1-影响金额候选,接入报价计算,pricing_calculation:door_panel_adjustment,门板,•轨道两侧需要有东西遮轨道 •下轨道需在门板下方开槽安装轨道 •吊轨门门板结构为拼框结构，门框宽度70mm L W（W=L/2+20) 门板宽度W=L/2+20两侧需要有东西遮挡防止两侧轨道外露 门板下方开槽,吊轨门,2,product_or_category | width | door_type | wall_or_install_condition,吊轨门有什么要求？ | •轨道两侧需要有东西遮轨道 •下轨道需在门板下方开槽安装轨道 •吊轨门门板结构为拼框结构，门框宽度70mm L W（W=L/2+20) 门板宽度W=L/2+20两侧需要有东西遮挡防止两侧轨道外露 门板下方开槽怎么处理？ | 门板里关于•轨道两侧需要有东西遮轨道 •下轨道需在门板下方开槽安装...怎么说？ | 用户问题或报价参数命中主题：•轨道两侧需要有东西遮轨道 •下轨道需在门板下方开槽安装轨道 •吊轨门门板结构为拼框结构，门框宽... | 用户问题或报价参数命中来源标题：吊轨门,当报价请求命中“•轨道两侧需要有东西遮轨道 •下轨道需在门板下方开槽安装轨道 •吊轨门门板结构为拼框...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增报价回归：输入包含“•轨道两侧需要有东西遮轨道 •下轨道需在门板下方开槽安装轨道 •...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。
landing-rule-0437,data-point-0437,no,78,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,床榻,抽拉床 •尺寸限制:整体W≤2000mm，床身主体W1≤1200，拉出尺寸：W2≤800 •排骨架尺寸：排骨架宽度根据长L度均分；宽度≈80mm，之间缝隙为1.5mm •可定制抽屉款抽拉床，不可做箱体抽拉床 固定床架宽度 W1 W1≤120,抽拉床,1,product_or_category | width | length,抽拉床有什么要求？ | 抽拉床 •尺寸限制:整体W≤2000mm，床身主体W1≤1200，拉出尺寸：W2≤800 •排骨架尺寸：排骨架宽度根据长L度均分；宽度≈80mm，之间缝隙为1.5mm •可定制抽屉款抽拉床，不可做箱体抽拉床 固定床架宽度 W1 W1≤120怎么处理？ | 床榻里关于抽拉床 •尺寸限制:整体W≤2000mm，床身主体W1≤...怎么说？ | 用户问题或报价参数命中主题：抽拉床 •尺寸限制:整体W≤2000mm，床身主体W1≤1200，拉出尺寸：W2≤800 •排骨... | 用户问题或报价参数命中来源标题：抽拉床,当报价请求命中“抽拉床 •尺寸限制:整体W≤2000mm，床身主体W1≤1200，拉出尺寸：W2≤8...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“抽拉床 •尺寸限制:整体W≤2000mm，床身主体W1≤1200...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0124,data-point-0124,no,78,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,门板,真格栅门 •尺寸限制：单扇门宽≤560mm，门高≤2300mm •门板厚度：26mm •门边框宽度：60mm（含斜切边），腰称宽度：65mm •开启方式：可推弹开启、抠手开启、拉手开启。 •适用铰链：铰链均可适用。内嵌门铰链称宽度需≥100,真格栅门,1,product_or_category | height | width | material | door_type,真格栅门有什么要求？ | 真格栅门 •尺寸限制：单扇门宽≤560mm，门高≤2300mm •门板厚度：26mm •门边框宽度：60mm（含斜切边），腰称宽度：65mm •开启方式：可推弹开启、抠手开启、拉手开启。 •适用铰链：铰链均可适用。内嵌门铰链称宽度需≥100怎么处理？ | 门板里关于真格栅门 •尺寸限制：单扇门宽≤560mm，门高≤230...怎么说？ | 用户问题或报价参数命中主题：真格栅门 •尺寸限制：单扇门宽≤560mm，门高≤2300mm •门板厚度：26mm •门边框宽... | 用户问题或报价参数命中来源标题：真格栅门,当报价请求命中“真格栅门 •尺寸限制：单扇门宽≤560mm，门高≤2300mm •门板厚度：26mm...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“真格栅门 •尺寸限制：单扇门宽≤560mm，门高≤2300mm...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0358,data-point-0358,no,78,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,门板,•尺寸限制：单扇门宽≤450mm，高度≤2300mm •门板厚度：20mm •穿带避让尺寸*：20mm/30mm •开启方式：可推弹开启、拉手开启；拉手尺寸：40*20 •特殊要求：拉手不可安装在上下，只能安装在左右 •适用铰链：所有铰链均,骨骼线门板,1,product_or_category | height | width | door_type | wall_or_install_condition,骨骼线门板有什么要求？ | •尺寸限制：单扇门宽≤450mm，高度≤2300mm •门板厚度：20mm •穿带避让尺寸*：20mm/30mm •开启方式：可推弹开启、拉手开启；拉手尺寸：40*20 •特殊要求：拉手不可安装在上下，只能安装在左右 •适用铰链：所有铰链均怎么处理？ | 门板里关于•尺寸限制：单扇门宽≤450mm，高度≤2300mm •...怎么说？ | 用户问题或报价参数命中主题：•尺寸限制：单扇门宽≤450mm，高度≤2300mm •门板厚度：20mm •穿带避让尺寸*：2... | 用户问题或报价参数命中来源标题：骨骼线门板,当报价请求命中“•尺寸限制：单扇门宽≤450mm，高度≤2300mm •门板厚度：20mm •穿带避...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“•尺寸限制：单扇门宽≤450mm，高度≤2300mm •门板厚度...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0433,data-point-0433,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,床榻,所有箱体床，包括符合安装要求的侧翻床、儿童床，均使用SUSPA小蜻蜓举升器 注意事项： 1.内空要求H≥196mm；内空长度L≥950mm；内空长度L≤600mm时可使用榻榻米盖板；内空长度600＜L＜ 950mm时不可做可开启床屉板。 2,小蜻蜓举升器,1,product_or_category | height | length | wall_or_install_condition,小蜻蜓举升器有什么要求？ | 所有箱体床，包括符合安装要求的侧翻床、儿童床，均使用SUSPA小蜻蜓举升器 注意事项： 1.内空要求H≥196mm；内空长度L≥950mm；内空长度L≤600mm时可使用榻榻米盖板；内空长度600＜L＜ 950mm时不可做可开启床屉板。 2怎么处理？ | 床榻里关于所有箱体床，包括符合安装要求的侧翻床、儿童床，均使用SU...怎么说？ | 用户问题或报价参数命中主题：所有箱体床，包括符合安装要求的侧翻床、儿童床，均使用SUSPA小蜻蜓举升器 注意事项： 1.内空... | 用户问题或报价参数命中来源标题：小蜻蜓举升器,当报价请求命中“所有箱体床，包括符合安装要求的侧翻床、儿童床，均使用SUSPA小蜻蜓举升器 注意事项...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“所有箱体床，包括符合安装要求的侧翻床、儿童床，均使用SUSPA小...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0088,data-point-0088,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,柜体,•9mm竖纹平板背板(整装柜体) •尺寸限制:内空高度H≤2400mm，超过800需要加横撑； 当内空宽度W≤360mm时，为一整块背板； 当W＞360mm时需断开，且单块背板宽度L≤260mm； •适用范围:除有横向狭长背板的小件家具外的,平板背板,2,product_or_category | height | width | length,平板背板有什么要求？ | •9mm竖纹平板背板(整装柜体) •尺寸限制:内空高度H≤2400mm，超过800需要加横撑； 当内空宽度W≤360mm时，为一整块背板； 当W＞360mm时需断开，且单块背板宽度L≤260mm； •适用范围:除有横向狭长背板的小件家具外的怎么处理？ | 柜体里关于•9mm竖纹平板背板(整装柜体) •尺寸限制:内空高度H...怎么说？ | 用户问题或报价参数命中主题：•9mm竖纹平板背板(整装柜体) •尺寸限制:内空高度H≤2400mm，超过800需要加横撑；... | 用户问题或报价参数命中来源标题：平板背板,当报价请求命中“•9mm竖纹平板背板(整装柜体) •尺寸限制:内空高度H≤2400mm，超过800需...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“•9mm竖纹平板背板(整装柜体) •尺寸限制:内空高度H≤240...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0089,data-point-0089,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,柜体,H WL•15mm竖纹平板背板(拆装柜体) •背板可通顶或者分段使用； •分段背板承重性更好，与层板之间不容易漏缝； •层板间距＞1700时，背板与层板需要自攻螺丝固定； •尺寸限制： 内空高度H≤2400mm 当内空宽度W≤360mm时为,平板背板,3,product_or_category | height | width,平板背板有什么要求？ | H WL•15mm竖纹平板背板(拆装柜体) •背板可通顶或者分段使用； •分段背板承重性更好，与层板之间不容易漏缝； •层板间距＞1700时，背板与层板需要自攻螺丝固定； •尺寸限制： 内空高度H≤2400mm 当内空宽度W≤360mm时为怎么处理？ | 柜体里关于H WL•15mm竖纹平板背板(拆装柜体) •背板可通顶...怎么说？ | 用户问题或报价参数命中主题：H WL•15mm竖纹平板背板(拆装柜体) •背板可通顶或者分段使用； •分段背板承重性更好，与... | 用户问题或报价参数命中来源标题：平板背板,当报价请求命中“H WL•15mm竖纹平板背板(拆装柜体) •背板可通顶或者分段使用； •分段背板承...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“H WL•15mm竖纹平板背板(拆装柜体) •背板可通顶或者分段...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0090,data-point-0090,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,柜体,"•15mm竖纹平装平板背板(拆装柜体)； •背板可通顶或者分段使用,背板与层板无需自攻螺丝固定； •尺寸限制： 内空高度H≤1700mm 当内空宽度W≤360mm时为一整块背板 当W＞360mm时需要断开，且单块背板宽度L≤260mm；平板",平板背板,6,product_or_category | height | width | length,"平板背板有什么要求？ | •15mm竖纹平装平板背板(拆装柜体)； •背板可通顶或者分段使用,背板与层板无需自攻螺丝固定； •尺寸限制： 内空高度H≤1700mm 当内空宽度W≤360mm时为一整块背板 当W＞360mm时需要断开，且单块背板宽度L≤260mm；平板怎么处理？ | 柜体里关于•15mm竖纹平装平板背板(拆装柜体)； •背板可通顶或...怎么说？ | 用户问题或报价参数命中主题：•15mm竖纹平装平板背板(拆装柜体)； •背板可通顶或者分段使用,背板与层板无需自攻螺丝固定；... | 用户问题或报价参数命中来源标题：平板背板","当报价请求命中“•15mm竖纹平装平板背板(拆装柜体)； •背板可通顶或者分段使用,背板与层板无需自...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。",新增 precheck 回归：输入包含“•15mm竖纹平装平板背板(拆装柜体)； •背板可通顶或者分段使...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0097,data-point-0097,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,柜体,托盘抽 •托盘抽主要用于书桌键盘抽、储物柜/餐边柜拉出平台等； •抽面厚度：22mm •尺寸限制：66mm≤抽面高度H≤128mm；抽面上沿至托盘上沿高差20mm≤C≤60mm；抽面长度L≤1050mm •承重：30Kg •开启方式：可使用,托盘抽,1,product_or_category | height | length | door_type,托盘抽有什么要求？ | 托盘抽 •托盘抽主要用于书桌键盘抽、储物柜/餐边柜拉出平台等； •抽面厚度：22mm •尺寸限制：66mm≤抽面高度H≤128mm；抽面上沿至托盘上沿高差20mm≤C≤60mm；抽面长度L≤1050mm •承重：30Kg •开启方式：可使用怎么处理？ | 柜体里关于托盘抽 •托盘抽主要用于书桌键盘抽、储物柜/餐边柜拉出平...怎么说？ | 用户问题或报价参数命中主题：托盘抽 •托盘抽主要用于书桌键盘抽、储物柜/餐边柜拉出平台等； •抽面厚度：22mm •尺寸限制... | 用户问题或报价参数命中来源标题：托盘抽,当报价请求命中“托盘抽 •托盘抽主要用于书桌键盘抽、储物柜/餐边柜拉出平台等； •抽面厚度：22mm...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“托盘抽 •托盘抽主要用于书桌键盘抽、储物柜/餐边柜拉出平台等；...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0120,data-point-0120,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,柜体,"极窄斜边拼框门 •尺寸限制：单扇门宽W≤500mm；高H≤2200mm •门板厚度：门厚28mm •门边框宽度：外露30mm（斜切边:25mm,外露平边5mm），边宽60mm •开启方式：可推弹开启；扣手开启 •门板结构：45°斜角拼接 •",极窄斜边拼框门,1,product_or_category | height | width | material | door_type,"极窄斜边拼框门有什么要求？ | 极窄斜边拼框门 •尺寸限制：单扇门宽W≤500mm；高H≤2200mm •门板厚度：门厚28mm •门边框宽度：外露30mm（斜切边:25mm,外露平边5mm），边宽60mm •开启方式：可推弹开启；扣手开启 •门板结构：45°斜角拼接 •怎么处理？ | 柜体里关于极窄斜边拼框门 •尺寸限制：单扇门宽W≤500mm；高H...怎么说？ | 用户问题或报价参数命中主题：极窄斜边拼框门 •尺寸限制：单扇门宽W≤500mm；高H≤2200mm •门板厚度：门厚28mm... | 用户问题或报价参数命中来源标题：极窄斜边拼框门",当报价请求命中“极窄斜边拼框门 •尺寸限制：单扇门宽W≤500mm；高H≤2200mm •门板厚度：...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“极窄斜边拼框门 •尺寸限制：单扇门宽W≤500mm；高H≤220...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0349,data-point-0349,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,柜体,超大带轮抽屉 •超大带轮抽屉为床下落地抽屉；抽盒板厚20mm；抽底为拼框结构 •抽面厚度：22mm •尺寸限制： 抽面长度建议小于700mm；抽屉总进深建议不大于1200mm；抽面高度≤350mm 设计时应考虑抽屉开启时空间是否足够以及拉动,超大带轮抽屉,1,product_or_category | height | depth | length,超大带轮抽屉有什么要求？ | 超大带轮抽屉 •超大带轮抽屉为床下落地抽屉；抽盒板厚20mm；抽底为拼框结构 •抽面厚度：22mm •尺寸限制： 抽面长度建议小于700mm；抽屉总进深建议不大于1200mm；抽面高度≤350mm 设计时应考虑抽屉开启时空间是否足够以及拉动怎么处理？ | 柜体里关于超大带轮抽屉 •超大带轮抽屉为床下落地抽屉；抽盒板厚20...怎么说？ | 用户问题或报价参数命中主题：超大带轮抽屉 •超大带轮抽屉为床下落地抽屉；抽盒板厚20mm；抽底为拼框结构 •抽面厚度：22m... | 用户问题或报价参数命中来源标题：超大带轮抽屉,当报价请求命中“超大带轮抽屉 •超大带轮抽屉为床下落地抽屉；抽盒板厚20mm；抽底为拼框结构 •抽面...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“超大带轮抽屉 •超大带轮抽屉为床下落地抽屉；抽盒板厚20mm；抽...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0286,data-point-0286,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:required_note_or_confirmation_gate,配件,机械抽屉锁 •普通锁使用钥匙开启，颜色可选黑色、镍色，使用时应备注及附图； •注意使用普通锁时抽屉无法使用通长扣手；可选择靠左、靠右、居中安装； •带锁抽屉上方必须要有层板或≥50宽的拉条； •普通锁仅可用于锁住一个抽屉，不可联排锁定； •,抽屉锁,6,product_or_category | width | length | material | quote_note | wall_or_install_condition,抽屉锁有什么要求？ | 机械抽屉锁 •普通锁使用钥匙开启，颜色可选黑色、镍色，使用时应备注及附图； •注意使用普通锁时抽屉无法使用通长扣手；可选择靠左、靠右、居中安装； •带锁抽屉上方必须要有层板或≥50宽的拉条； •普通锁仅可用于锁住一个抽屉，不可联排锁定； •怎么处理？ | 配件里关于机械抽屉锁 •普通锁使用钥匙开启，颜色可选黑色、镍色，使...怎么说？ | 用户问题或报价参数命中主题：机械抽屉锁 •普通锁使用钥匙开启，颜色可选黑色、镍色，使用时应备注及附图； •注意使用普通锁时抽... | 用户问题或报价参数命中来源标题：抽屉锁,当报价请求命中“机械抽屉锁 •普通锁使用钥匙开启，颜色可选黑色、镍色，使用时应备注及附图； •注意使...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“机械抽屉锁 •普通锁使用钥匙开启，颜色可选黑色、镍色，使用时应备...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0023,data-point-0023,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,门板,百川门 •尺寸限制：单扇门宽≤550mm，高度≤2400mm •门板厚度：22mm •穿带避让尺寸：无需避让 •开启方式：该门型开启方式为按弹开启、拉手开启（建议搭配 弦月拉手使用）、铣型扣手开启、（可做推拉门）推拉开启。 •特殊要求：百川,百川门,1,product_or_category | height | width | door_type,百川门有什么要求？ | 百川门 •尺寸限制：单扇门宽≤550mm，高度≤2400mm •门板厚度：22mm •穿带避让尺寸：无需避让 •开启方式：该门型开启方式为按弹开启、拉手开启（建议搭配 弦月拉手使用）、铣型扣手开启、（可做推拉门）推拉开启。 •特殊要求：百川怎么处理？ | 门板里关于百川门 •尺寸限制：单扇门宽≤550mm，高度≤2400...怎么说？ | 用户问题或报价参数命中主题：百川门 •尺寸限制：单扇门宽≤550mm，高度≤2400mm •门板厚度：22mm •穿带避让尺... | 用户问题或报价参数命中来源标题：百川门,当报价请求命中“百川门 •尺寸限制：单扇门宽≤550mm，高度≤2400mm •门板厚度：22mm...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“百川门 •尺寸限制：单扇门宽≤550mm，高度≤2400mm •...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0030,data-point-0030,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,门板,外悬推拉门（木门） 拼框门门边框接缝处需有木条覆盖该门型由直边拼框门+木条组合而成•该门型由直边拼框门+木条组合而成，木条后拼框门需遵循常规拼框门尺寸限制等要求。 •门厚37/41mm，木条厚度15mm，木条宽度15mm，木条间隙可根据门宽,外悬推拉门（木门）,1,product_or_category | width | length | material | door_type,外悬推拉门（木门）有什么要求？ | 外悬推拉门（木门） 拼框门门边框接缝处需有木条覆盖该门型由直边拼框门+木条组合而成•该门型由直边拼框门+木条组合而成，木条后拼框门需遵循常规拼框门尺寸限制等要求。 •门厚37/41mm，木条厚度15mm，木条宽度15mm，木条间隙可根据门宽怎么处理？ | 门板里关于外悬推拉门（木门） 拼框门门边框接缝处需有木条覆盖该门型...怎么说？ | 用户问题或报价参数命中主题：外悬推拉门（木门） 拼框门门边框接缝处需有木条覆盖该门型由直边拼框门+木条组合而成•该门型由直边... | 用户问题或报价参数命中来源标题：外悬推拉门（木门）,当报价请求命中“外悬推拉门（木门） 拼框门门边框接缝处需有木条覆盖该门型由直边拼框门+木条组合而成•...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“外悬推拉门（木门） 拼框门门边框接缝处需有木条覆盖该门型由直边拼...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0108,data-point-0108,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:required_note_or_confirmation_gate,门板,•尺寸限制：单扇门宽≤500mm，宽度＞450mm时，需两块拼接（外 观有中缝），高度≤2300mm •门板厚度：20mm •穿带避让尺寸*：20mm/30mm •开启方式：可推弹开启、抠手开启、拉手开启。无备注无标注时 默认为推弹开启，其,飞瀑门,1,product_or_category | height | width | material | door_type | quote_note,飞瀑门有什么要求？ | •尺寸限制：单扇门宽≤500mm，宽度＞450mm时，需两块拼接（外 观有中缝），高度≤2300mm •门板厚度：20mm •穿带避让尺寸*：20mm/30mm •开启方式：可推弹开启、抠手开启、拉手开启。无备注无标注时 默认为推弹开启，其怎么处理？ | 门板里关于•尺寸限制：单扇门宽≤500mm，宽度＞450mm时，需...怎么说？ | 用户问题或报价参数命中主题：•尺寸限制：单扇门宽≤500mm，宽度＞450mm时，需两块拼接（外 观有中缝），高度≤2300... | 用户问题或报价参数命中来源标题：飞瀑门,当报价请求命中“•尺寸限制：单扇门宽≤500mm，宽度＞450mm时，需两块拼接（外 观有中缝），高...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“•尺寸限制：单扇门宽≤500mm，宽度＞450mm时，需两块拼接...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0110,data-point-0110,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,门板,竖向拉线门 •竖向拉线门是在飞瀑门基础上铣型而成的柜门 •尺寸限制：单扇门宽≤500mm，宽度＞450mm时，需两块拼接，高 度≤2300mm •门板厚度：20mm •穿带避让尺寸：20mm/30mm •开启方式：可推弹开启、抠手开启。无备,竖向拉线门,1,product_or_category | height | width | door_type,竖向拉线门有什么要求？ | 竖向拉线门 •竖向拉线门是在飞瀑门基础上铣型而成的柜门 •尺寸限制：单扇门宽≤500mm，宽度＞450mm时，需两块拼接，高 度≤2300mm •门板厚度：20mm •穿带避让尺寸：20mm/30mm •开启方式：可推弹开启、抠手开启。无备怎么处理？ | 门板里关于竖向拉线门 •竖向拉线门是在飞瀑门基础上铣型而成的柜门...怎么说？ | 用户问题或报价参数命中主题：竖向拉线门 •竖向拉线门是在飞瀑门基础上铣型而成的柜门 •尺寸限制：单扇门宽≤500mm，宽度＞... | 用户问题或报价参数命中来源标题：竖向拉线门,当报价请求命中“竖向拉线门 •竖向拉线门是在飞瀑门基础上铣型而成的柜门 •尺寸限制：单扇门宽≤500...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“竖向拉线门 •竖向拉线门是在飞瀑门基础上铣型而成的柜门 •尺寸限...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0119,data-point-0119,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,门板,超高经典玻璃门/拱形玻璃门/胶囊玻璃门,超高经典/拱形/胶囊玻璃门,1,product_or_category | height | width | material | door_type,超高经典/拱形/胶囊玻璃门有什么要求？ | 超高经典玻璃门/拱形玻璃门/胶囊玻璃门怎么处理？ | 门板里关于超高经典玻璃门/拱形玻璃门/胶囊玻璃门怎么说？ | 用户问题或报价参数命中主题：超高经典玻璃门/拱形玻璃门/胶囊玻璃门 | 用户问题或报价参数命中来源标题：超高经典/拱形/胶囊玻璃门,当报价请求命中“超高经典玻璃门/拱形玻璃门/胶囊玻璃门”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“超高经典玻璃门/拱形玻璃门/胶囊玻璃门”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0142,data-point-0142,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,门板,上翻门（小螳螂） •门板面积(㎡)*门高(m)≤0.28 •开启方式：可推弹开启、抠手开启、五金拉手开启 •尺寸限制：门长度≤1040mm；真格栅上翻门长度＞765mm时需加竖撑 拼框门高度≤560mm；横纹平板上翻门（含展板门）高度≤50,上翻门,1,product_or_category | height | length | material | door_type,上翻门有什么要求？ | 上翻门（小螳螂） •门板面积(㎡)*门高(m)≤0.28 •开启方式：可推弹开启、抠手开启、五金拉手开启 •尺寸限制：门长度≤1040mm；真格栅上翻门长度＞765mm时需加竖撑 拼框门高度≤560mm；横纹平板上翻门（含展板门）高度≤50怎么处理？ | 门板里关于上翻门（小螳螂） •门板面积(㎡)*门高(m)≤0.28...怎么说？ | 用户问题或报价参数命中主题：上翻门（小螳螂） •门板面积(㎡)*门高(m)≤0.28 •开启方式：可推弹开启、抠手开启、五金... | 用户问题或报价参数命中来源标题：上翻门,当报价请求命中“上翻门（小螳螂） •门板面积(㎡)*门高(m)≤0.28 •开启方式：可推弹开启、抠...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“上翻门（小螳螂） •门板面积(㎡)*门高(m)≤0.28 •开启...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0370,data-point-0370,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:dimension_or_limit_gate,门板,铝框岩板门 •尺寸限制：300mm≤高度≤2700mm，300mm≤宽度≤500mm •门板厚度：22mm •门边框宽度：55mm •岩板厚度：6mm •门边框颜色：黑色 •开启方式：按弹开启 •适用铰链：所有铰链均适用。内嵌门铰链称宽度需,铝框岩板门,1,product_or_category | height | width | material | door_type,铝框岩板门有什么要求？ | 铝框岩板门 •尺寸限制：300mm≤高度≤2700mm，300mm≤宽度≤500mm •门板厚度：22mm •门边框宽度：55mm •岩板厚度：6mm •门边框颜色：黑色 •开启方式：按弹开启 •适用铰链：所有铰链均适用。内嵌门铰链称宽度需怎么处理？ | 门板里关于铝框岩板门 •尺寸限制：300mm≤高度≤2700mm，...怎么说？ | 用户问题或报价参数命中主题：铝框岩板门 •尺寸限制：300mm≤高度≤2700mm，300mm≤宽度≤500mm •门板厚度... | 用户问题或报价参数命中来源标题：铝框岩板门,当报价请求命中“铝框岩板门 •尺寸限制：300mm≤高度≤2700mm，300mm≤宽度≤500mm...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“铝框岩板门 •尺寸限制：300mm≤高度≤2700mm，300m...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0391,data-point-0391,no,75,P1-影响能否下单,接入报价前追问/拦截,precheck_quote:required_note_or_confirmation_gate,门板,•尺寸限制：高度H≤1200；宽度W≤1200；拼框 门边框宽度外露30mm； •门板厚度：22mm； •横格栅条：无斜切边，宽度10mm，厚度:21mm， 横格栅条之间间距≈30mm，默认均分，有特殊 要求需标注及备注； •竖格栅条：无斜,雪见推拉门,1,product_or_category | height | width | door_type | quote_note,雪见推拉门有什么要求？ | •尺寸限制：高度H≤1200；宽度W≤1200；拼框 门边框宽度外露30mm； •门板厚度：22mm； •横格栅条：无斜切边，宽度10mm，厚度:21mm， 横格栅条之间间距≈30mm，默认均分，有特殊 要求需标注及备注； •竖格栅条：无斜怎么处理？ | 门板里关于•尺寸限制：高度H≤1200；宽度W≤1200；拼框 门...怎么说？ | 用户问题或报价参数命中主题：•尺寸限制：高度H≤1200；宽度W≤1200；拼框 门边框宽度外露30mm； •门板厚度：22... | 用户问题或报价参数命中来源标题：雪见推拉门,当报价请求命中“•尺寸限制：高度H≤1200；宽度W≤1200；拼框 门边框宽度外露30mm； •门...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“•尺寸限制：高度H≤1200；宽度W≤1200；拼框 门边框宽度...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
